Created Date,Ticket ID,Category,Priority,Resolution Time Hours,CSAT Score,Escalated
2025-02-02,TCK-8209,Performance Lag,P3 Medium,65.6,5,No
2025-02-02,TCK-8308,Performance Lag,P4 Low,30.8,5,No
2025-02-03,TCK-8184,Performance Lag,P3 Medium,13.9,3,Yes
2025-02-03,TCK-8218,Integration Error,P3 Medium,45.1,4,No
2025-02-03,TCK-8397,Integration Error,P2 High,28.3,4,No
2025-02-04,TCK-8326,Performance Lag,P4 Low,47.9,5,No
2025-02-04,TCK-8467,Integration Error,P4 Low,1.5,5,No
2025-02-06,TCK-8235,Account Lock,P2 High,67.0,5,No
2025-02-07,TCK-8441,Integration Error,P3 Medium,59.8,5,No
2025-02-08,TCK-8412,Feature Request,P4 Low,44.7,3,No
2025-02-08,TCK-8043,Performance Lag,P4 Low,54.0,5,Yes
2025-02-08,TCK-8495,Integration Error,P3 Medium,69.8,4,No
2025-02-11,TCK-8374,Integration Error,P3 Medium,31.7,5,No
2025-02-11,TCK-8206,Integration Error,P3 Medium,20.2,5,No
2025-02-11,TCK-8029,Feature Request,P4 Low,8.9,5,No
2025-02-12,TCK-8112,Account Lock,P4 Low,51.9,5,No
2025-02-12,TCK-8286,Feature Request,P3 Medium,17.0,1,No
2025-02-13,TCK-8214,Feature Request,P2 High,3.8,3,Yes
2025-02-13,TCK-8345,Feature Request,P4 Low,54.4,4,No
2025-02-14,TCK-8205,Billing Bug,P3 Medium,40.3,5,No
2025-02-14,TCK-8440,Performance Lag,P3 Medium,69.2,3,No
2025-02-15,TCK-8285,Integration Error,P2 High,30.0,5,No
2025-02-15,TCK-8254,Integration Error,P3 Medium,29.1,1,No
2025-02-15,TCK-8106,Performance Lag,P3 Medium,35.4,4,No
2025-02-17,TCK-8142,Integration Error,P3 Medium,12.1,4,No
2025-02-17,TCK-8168,Integration Error,P4 Low,44.0,5,No
2025-02-18,TCK-8449,Billing Bug,P3 Medium,15.4,4,No
2025-02-18,TCK-8178,Account Lock,P2 High,55.8,4,No
2025-02-20,TCK-8054,Feature Request,P4 Low,43.8,5,No
2025-02-21,TCK-8201,Feature Request,P4 Low,27.1,5,No
2025-02-22,TCK-8156,Account Lock,P3 Medium,57.7,4,No
2025-02-23,TCK-8244,Billing Bug,P3 Medium,67.1,5,No
2025-02-23,TCK-8008,Account Lock,P3 Medium,4.8,4,No
2025-02-23,TCK-8070,Integration Error,P1 Critical,31.5,3,No
2025-02-23,TCK-8320,Integration Error,P1 Critical,7.5,4,No
2025-02-23,TCK-8393,Feature Request,P1 Critical,28.4,3,No
2025-02-23,TCK-8082,Performance Lag,P3 Medium,30.4,4,No
2025-02-23,TCK-8330,Feature Request,P2 High,51.7,1,No
2025-02-24,TCK-8324,Billing Bug,P3 Medium,54.2,5,No
2025-02-24,TCK-8367,Billing Bug,P3 Medium,46.7,4,No
2025-02-24,TCK-8488,Performance Lag,P2 High,23.2,5,No
2025-02-25,TCK-8368,Performance Lag,P3 Medium,55.0,3,No
2025-02-25,TCK-8213,Billing Bug,P3 Medium,21.0,5,No
2025-02-25,TCK-8349,Billing Bug,P3 Medium,18.7,5,No
2025-02-26,TCK-8208,Account Lock,P3 Medium,46.8,5,Yes
2025-02-27,TCK-8418,Billing Bug,P2 High,33.5,4,No
2025-02-27,TCK-8247,Account Lock,P2 High,31.7,5,No
2025-03-01,TCK-8496,Integration Error,P3 Medium,31.1,5,No
2025-03-01,TCK-8030,Account Lock,P4 Low,9.6,5,No
2025-03-01,TCK-8437,Billing Bug,P3 Medium,3.0,5,No
2025-03-02,TCK-8387,Integration Error,P3 Medium,1.5,2,No
2025-03-03,TCK-8104,Feature Request,P2 High,26.9,4,No
2025-03-03,TCK-8016,Performance Lag,P1 Critical,12.1,3,No
2025-03-04,TCK-8196,Billing Bug,P2 High,1.2,5,No
2025-03-04,TCK-8071,Billing Bug,P2 High,47.3,5,No
2025-03-05,TCK-8455,Performance Lag,P4 Low,11.0,3,No
2025-03-05,TCK-8444,Performance Lag,P4 Low,14.6,3,No
2025-03-06,TCK-8246,Billing Bug,P3 Medium,57.2,5,No
2025-03-06,TCK-8065,Integration Error,P3 Medium,69.2,5,No
2025-03-08,TCK-8284,Integration Error,P3 Medium,64.7,4,No
2025-03-09,TCK-8147,Account Lock,P4 Low,66.4,5,No
2025-03-11,TCK-8377,Integration Error,P1 Critical,24.2,5,No
2025-03-12,TCK-8486,Billing Bug,P4 Low,47.6,3,No
2025-03-12,TCK-8471,Integration Error,P3 Medium,41.7,5,No
2025-03-12,TCK-8262,Feature Request,P4 Low,4.5,5,Yes
2025-03-12,TCK-8303,Feature Request,P1 Critical,51.6,4,No
2025-03-13,TCK-8101,Feature Request,P4 Low,9.5,4,No
2025-03-13,TCK-8095,Account Lock,P3 Medium,62.6,5,No
2025-03-14,TCK-8251,Billing Bug,P3 Medium,28.3,5,No
2025-03-14,TCK-8062,Account Lock,P3 Medium,67.9,4,No
2025-03-15,TCK-8102,Billing Bug,P4 Low,55.6,5,Yes
2025-03-15,TCK-8159,Integration Error,P3 Medium,28.0,4,No
2025-03-17,TCK-8187,Billing Bug,P4 Low,20.1,1,No
2025-03-17,TCK-8369,Billing Bug,P3 Medium,17.0,3,No
2025-03-18,TCK-8063,Feature Request,P3 Medium,32.9,5,No
2025-03-18,TCK-8031,Performance Lag,P3 Medium,13.9,5,No
2025-03-18,TCK-8041,Performance Lag,P3 Medium,18.9,5,No
2025-03-19,TCK-8091,Integration Error,P3 Medium,40.3,5,No
2025-03-20,TCK-8222,Billing Bug,P4 Low,22.5,5,No
2025-03-21,TCK-8242,Performance Lag,P3 Medium,65.2,4,No
2025-03-21,TCK-8322,Feature Request,P3 Medium,58.9,5,No
2025-03-22,TCK-8263,Billing Bug,P3 Medium,30.7,5,No
2025-03-23,TCK-8141,Account Lock,P4 Low,25.6,4,No
2025-03-23,TCK-8336,Performance Lag,P2 High,71.8,4,No
2025-03-23,TCK-8430,Performance Lag,P4 Low,17.3,5,No
2025-03-24,TCK-8225,Performance Lag,P2 High,65.8,5,No
2025-03-25,TCK-8357,Performance Lag,P2 High,69.8,2,No
2025-03-25,TCK-8155,Billing Bug,P3 Medium,61.8,5,No
2025-03-26,TCK-8182,Billing Bug,P2 High,40.5,2,No
2025-03-28,TCK-8406,Integration Error,P4 Low,11.8,5,No
2025-03-29,TCK-8051,Feature Request,P3 Medium,17.8,5,No
2025-03-29,TCK-8431,Billing Bug,P2 High,10.9,4,No
2025-03-30,TCK-8274,Account Lock,P2 High,4.3,5,No
2025-03-31,TCK-8077,Account Lock,P2 High,69.3,3,No
2025-03-31,TCK-8093,Feature Request,P3 Medium,68.5,5,No
2025-04-01,TCK-8267,Integration Error,P3 Medium,54.1,5,No
2025-04-02,TCK-8404,Billing Bug,P2 High,66.1,4,No
2025-04-04,TCK-8413,Billing Bug,P3 Medium,5.4,3,No
2025-04-04,TCK-8258,Billing Bug,P3 Medium,44.2,4,No
2025-04-05,TCK-8275,Feature Request,P3 Medium,14.6,4,No
2025-04-06,TCK-8035,Account Lock,P1 Critical,19.5,5,No
2025-04-06,TCK-8248,Performance Lag,P4 Low,13.2,5,No
2025-04-08,TCK-8186,Feature Request,P3 Medium,32.1,4,No
2025-04-09,TCK-8113,Feature Request,P2 High,33.3,5,No
2025-04-09,TCK-8203,Feature Request,P3 Medium,50.8,5,No
2025-04-10,TCK-8013,Billing Bug,P3 Medium,49.7,5,No
2025-04-10,TCK-8306,Performance Lag,P2 High,44.5,5,No
2025-04-10,TCK-8162,Integration Error,P3 Medium,23.1,4,No
2025-04-10,TCK-8405,Account Lock,P2 High,12.8,2,Yes
2025-04-10,TCK-8416,Feature Request,P2 High,43.4,2,No
2025-04-10,TCK-8261,Billing Bug,P1 Critical,55.0,5,No
2025-04-11,TCK-8428,Account Lock,P3 Medium,20.7,5,No
2025-04-11,TCK-8386,Billing Bug,P3 Medium,60.1,5,No
2025-04-12,TCK-8266,Performance Lag,P3 Medium,34.5,4,No
2025-04-12,TCK-8448,Account Lock,P1 Critical,57.5,5,No
2025-04-12,TCK-8123,Billing Bug,P1 Critical,33.1,5,No
2025-04-13,TCK-8354,Performance Lag,P3 Medium,50.6,5,No
2025-04-14,TCK-8395,Account Lock,P3 Medium,48.4,3,No
2025-04-15,TCK-8492,Feature Request,P4 Low,50.2,5,No
2025-04-15,TCK-8100,Performance Lag,P4 Low,70.2,5,No
2025-04-15,TCK-8108,Account Lock,P3 Medium,54.9,5,Yes
2025-04-15,TCK-8432,Feature Request,P3 Medium,26.5,4,No
2025-04-16,TCK-8020,Integration Error,P3 Medium,30.7,5,No
2025-04-18,TCK-8301,Performance Lag,P4 Low,24.5,4,No
2025-04-18,TCK-8265,Billing Bug,P3 Medium,68.7,3,No
2025-04-19,TCK-8109,Integration Error,P4 Low,19.3,4,No
2025-04-19,TCK-8050,Billing Bug,P2 High,20.2,4,No
2025-04-20,TCK-8376,Billing Bug,P1 Critical,22.3,4,Yes
2025-04-20,TCK-8150,Billing Bug,P4 Low,67.4,3,No
2025-04-20,TCK-8270,Performance Lag,P2 High,23.6,5,No
2025-04-22,TCK-8447,Performance Lag,P3 Medium,9.9,5,No
2025-04-22,TCK-8119,Billing Bug,P4 Low,26.7,5,No
2025-04-23,TCK-8294,Performance Lag,P3 Medium,15.1,5,No
2025-04-24,TCK-8210,Integration Error,P3 Medium,29.8,4,No
2025-04-24,TCK-8212,Feature Request,P4 Low,19.7,4,No
2025-04-26,TCK-8344,Account Lock,P3 Medium,35.4,4,No
2025-04-27,TCK-8169,Account Lock,P1 Critical,70.8,5,Yes
2025-04-27,TCK-8423,Feature Request,P2 High,5.8,5,No
2025-04-28,TCK-8402,Integration Error,P3 Medium,54.7,5,No
2025-04-29,TCK-8328,Billing Bug,P3 Medium,66.5,5,No
2025-04-30,TCK-8075,Billing Bug,P4 Low,35.7,4,No
2025-04-30,TCK-8313,Feature Request,P2 High,37.6,5,No
2025-05-01,TCK-8111,Feature Request,P4 Low,14.1,5,No
2025-05-02,TCK-8006,Integration Error,P2 High,66.6,4,No
2025-05-04,TCK-8408,Billing Bug,P2 High,62.7,3,No
2025-05-04,TCK-8442,Feature Request,P1 Critical,65.7,5,No
2025-05-05,TCK-8221,Performance Lag,P2 High,27.0,5,No
2025-05-06,TCK-8396,Account Lock,P4 Low,3.4,3,No
2025-05-06,TCK-8047,Integration Error,P3 Medium,68.2,5,No
2025-05-06,TCK-8001,Performance Lag,P3 Medium,48.6,5,No
2025-05-06,TCK-8379,Account Lock,P4 Low,20.8,5,No
2025-05-07,TCK-8253,Account Lock,P3 Medium,15.9,5,No
2025-05-08,TCK-8256,Feature Request,P1 Critical,32.1,4,No
2025-05-08,TCK-8436,Performance Lag,P4 Low,14.6,4,No
2025-05-09,TCK-8361,Integration Error,P2 High,7.1,5,No
2025-05-09,TCK-8163,Account Lock,P4 Low,61.8,4,No
2025-05-10,TCK-8433,Account Lock,P3 Medium,49.2,4,No
2025-05-10,TCK-8081,Performance Lag,P1 Critical,50.6,2,No
2025-05-12,TCK-8373,Integration Error,P3 Medium,30.2,4,No
2025-05-12,TCK-8464,Billing Bug,P2 High,53.1,5,No
2025-05-13,TCK-8462,Feature Request,P4 Low,9.7,5,Yes
2025-05-13,TCK-8022,Performance Lag,P2 High,8.8,3,No
2025-05-14,TCK-8192,Feature Request,P3 Medium,22.3,2,No
2025-05-15,TCK-8366,Performance Lag,P4 Low,33.3,2,No
2025-05-15,TCK-8466,Billing Bug,P3 Medium,69.7,5,No
2025-05-15,TCK-8009,Billing Bug,P2 High,30.4,5,No
2025-05-16,TCK-8424,Performance Lag,P3 Medium,35.0,5,No
2025-05-17,TCK-8227,Billing Bug,P3 Medium,37.8,1,Yes
2025-05-18,TCK-8342,Feature Request,P2 High,41.1,4,No
2025-05-19,TCK-8340,Billing Bug,P2 High,22.8,4,No
2025-05-20,TCK-8092,Account Lock,P3 Medium,71.7,5,No
2025-05-21,TCK-8137,Account Lock,P4 Low,68.9,5,No
2025-05-22,TCK-8362,Integration Error,P3 Medium,45.2,5,No
2025-05-23,TCK-8161,Integration Error,P3 Medium,11.5,2,No
2025-05-23,TCK-8309,Performance Lag,P3 Medium,23.3,3,No
2025-05-23,TCK-8103,Feature Request,P4 Low,57.9,5,No
2025-05-23,TCK-8133,Feature Request,P3 Medium,27.6,5,No
2025-05-24,TCK-8094,Performance Lag,P3 Medium,19.9,5,No
2025-05-24,TCK-8199,Performance Lag,P4 Low,30.4,4,Yes
2025-05-25,TCK-8224,Billing Bug,P4 Low,34.0,3,No
2025-05-26,TCK-8297,Account Lock,P3 Medium,57.4,5,Yes
2025-05-26,TCK-8105,Integration Error,P3 Medium,47.6,5,No
2025-05-29,TCK-8356,Performance Lag,P3 Medium,13.3,2,Yes
2025-05-29,TCK-8458,Account Lock,P3 Medium,21.0,5,No
2025-05-31,TCK-8323,Feature Request,P3 Medium,17.5,5,No
2025-05-31,TCK-8060,Performance Lag,P3 Medium,56.5,5,No
2025-05-31,TCK-8012,Performance Lag,P3 Medium,20.4,4,No
2025-06-02,TCK-8057,Integration Error,P2 High,33.0,5,No
2025-06-03,TCK-8090,Feature Request,P3 Medium,34.4,5,No
2025-06-04,TCK-8429,Feature Request,P3 Medium,21.1,5,No
2025-06-05,TCK-8024,Performance Lag,P4 Low,45.8,5,No
2025-06-06,TCK-8456,Billing Bug,P1 Critical,11.0,5,No
2025-06-08,TCK-8129,Integration Error,P2 High,41.9,5,No
2025-06-09,TCK-8238,Feature Request,P2 High,64.2,4,No
2025-06-09,TCK-8272,Account Lock,P4 Low,34.8,5,No
2025-06-11,TCK-8305,Performance Lag,P3 Medium,46.1,4,No
2025-06-12,TCK-8000,Feature Request,P4 Low,20.2,4,No
2025-06-13,TCK-8068,Feature Request,P2 High,24.3,3,No
2025-06-14,TCK-8484,Performance Lag,P1 Critical,59.2,4,No
2025-06-14,TCK-8398,Account Lock,P2 High,46.7,4,No
2025-06-14,TCK-8048,Feature Request,P3 Medium,64.0,5,No
2025-06-17,TCK-8478,Performance Lag,P4 Low,15.8,4,No
2025-06-17,TCK-8314,Billing Bug,P4 Low,4.1,4,No
2025-06-18,TCK-8461,Performance Lag,P3 Medium,29.5,3,No
2025-06-18,TCK-8240,Integration Error,P3 Medium,60.9,5,No
2025-06-20,TCK-8145,Performance Lag,P3 Medium,12.0,3,No
2025-06-20,TCK-8028,Billing Bug,P3 Medium,50.7,4,No
2025-06-23,TCK-8339,Integration Error,P3 Medium,32.8,4,No
2025-06-24,TCK-8188,Integration Error,P3 Medium,9.9,3,Yes
2025-06-24,TCK-8493,Feature Request,P2 High,42.5,4,No
2025-06-24,TCK-8079,Billing Bug,P2 High,55.0,5,No
2025-06-24,TCK-8359,Performance Lag,P4 Low,24.0,4,No
2025-06-26,TCK-8096,Feature Request,P4 Low,28.4,4,No
2025-06-26,TCK-8229,Account Lock,P2 High,0.8,5,No
2025-06-27,TCK-8167,Billing Bug,P3 Medium,51.5,4,No
2025-06-27,TCK-8193,Account Lock,P4 Low,62.4,5,No
2025-06-28,TCK-8177,Performance Lag,P3 Medium,42.3,5,No
2025-06-28,TCK-8382,Integration Error,P3 Medium,6.3,5,No
2025-06-28,TCK-8237,Performance Lag,P4 Low,56.9,5,No
2025-06-28,TCK-8171,Billing Bug,P2 High,32.6,5,No
2025-06-29,TCK-8394,Performance Lag,P3 Medium,31.7,4,No
2025-07-01,TCK-8489,Feature Request,P3 Medium,26.3,5,No
2025-07-02,TCK-8388,Performance Lag,P4 Low,24.0,5,No
2025-07-03,TCK-8084,Integration Error,P2 High,39.5,3,No
2025-07-04,TCK-8454,Performance Lag,P4 Low,5.0,1,No
2025-07-04,TCK-8469,Performance Lag,P2 High,36.7,4,No
2025-07-04,TCK-8118,Billing Bug,P2 High,33.8,5,No
2025-07-06,TCK-8132,Billing Bug,P3 Medium,5.0,4,No
2025-07-06,TCK-8034,Billing Bug,P4 Low,30.7,5,No
2025-07-12,TCK-8341,Account Lock,P3 Medium,61.7,4,No
2025-07-12,TCK-8477,Billing Bug,P4 Low,31.5,5,No
2025-07-13,TCK-8114,Account Lock,P4 Low,32.2,5,No
2025-07-14,TCK-8088,Billing Bug,P4 Low,34.5,5,No
2025-07-15,TCK-8220,Integration Error,P3 Medium,8.8,2,Yes
2025-07-15,TCK-8017,Performance Lag,P4 Low,39.6,5,No
2025-07-16,TCK-8329,Integration Error,P3 Medium,63.7,3,No
2025-07-16,TCK-8465,Billing Bug,P2 High,48.9,4,No
2025-07-16,TCK-8005,Performance Lag,P3 Medium,27.1,5,No
2025-07-16,TCK-8384,Performance Lag,P4 Low,27.5,2,No
2025-07-17,TCK-8055,Integration Error,P1 Critical,31.9,4,No
2025-07-18,TCK-8290,Performance Lag,P3 Medium,51.7,5,No
2025-07-18,TCK-8004,Performance Lag,P3 Medium,10.4,4,No
2025-07-19,TCK-8052,Feature Request,P2 High,60.5,5,No
2025-07-21,TCK-8032,Feature Request,P3 Medium,7.5,5,No
2025-07-21,TCK-8154,Billing Bug,P4 Low,56.7,3,No
2025-07-22,TCK-8409,Billing Bug,P2 High,7.1,3,No
2025-07-25,TCK-8279,Integration Error,P3 Medium,21.2,5,No
2025-07-25,TCK-8391,Account Lock,P3 Medium,36.4,3,No
2025-07-26,TCK-8230,Account Lock,P3 Medium,14.6,4,No
2025-07-27,TCK-8321,Performance Lag,P3 Medium,39.0,5,No
2025-07-29,TCK-8124,Integration Error,P2 High,52.1,4,No
2025-07-31,TCK-8037,Feature Request,P2 High,60.9,2,No
2025-07-31,TCK-8151,Account Lock,P3 Medium,19.2,4,No
2025-07-31,TCK-8499,Performance Lag,P2 High,44.4,4,No
2025-07-31,TCK-8215,Feature Request,P2 High,21.0,4,No
2025-08-01,TCK-8233,Account Lock,P2 High,35.2,5,No
2025-08-02,TCK-8312,Integration Error,P2 High,7.1,5,No
2025-08-02,TCK-8046,Performance Lag,P4 Low,42.1,4,Yes
2025-08-02,TCK-8116,Account Lock,P3 Medium,11.7,4,No
2025-08-02,TCK-8025,Billing Bug,P2 High,45.5,4,No
2025-08-03,TCK-8415,Account Lock,P2 High,32.7,5,No
2025-08-05,TCK-8316,Billing Bug,P2 High,32.4,4,No
2025-08-05,TCK-8319,Billing Bug,P3 Medium,70.7,5,No
2025-08-07,TCK-8348,Account Lock,P2 High,1.5,4,No
2025-08-07,TCK-8164,Performance Lag,P3 Medium,64.7,4,No
2025-08-08,TCK-8468,Billing Bug,P3 Medium,54.2,4,No
2025-08-08,TCK-8160,Performance Lag,P3 Medium,33.4,5,No
2025-08-08,TCK-8033,Billing Bug,P4 Low,45.2,4,No
2025-08-09,TCK-8059,Integration Error,P4 Low,6.7,4,No
2025-08-11,TCK-8360,Performance Lag,P3 Medium,26.9,5,No
2025-08-11,TCK-8058,Account Lock,P2 High,64.8,3,No
2025-08-12,TCK-8311,Billing Bug,P3 Medium,42.0,3,No
2025-08-12,TCK-8259,Billing Bug,P2 High,2.0,5,Yes
2025-08-12,TCK-8086,Performance Lag,P3 Medium,16.4,5,No
2025-08-14,TCK-8026,Billing Bug,P3 Medium,10.7,1,No
2025-08-15,TCK-8125,Feature Request,P3 Medium,6.3,5,No
2025-08-15,TCK-8438,Feature Request,P3 Medium,70.2,5,No
2025-08-15,TCK-8451,Integration Error,P3 Medium,61.7,5,No
2025-08-16,TCK-8195,Feature Request,P3 Medium,9.4,1,No
2025-08-17,TCK-8287,Account Lock,P4 Low,36.9,5,No
2025-08-17,TCK-8130,Performance Lag,P3 Medium,67.7,4,No
2025-08-17,TCK-8107,Feature Request,P2 High,16.8,3,No
2025-08-17,TCK-8117,Feature Request,P2 High,64.7,4,No
2025-08-18,TCK-8226,Performance Lag,P4 Low,41.1,5,No
2025-08-19,TCK-8487,Integration Error,P2 High,34.5,4,No
2025-08-22,TCK-8407,Billing Bug,P3 Medium,60.6,4,No
2025-08-22,TCK-8289,Performance Lag,P2 High,3.7,5,No
2025-08-22,TCK-8014,Feature Request,P2 High,45.6,2,No
2025-08-24,TCK-8480,Account Lock,P2 High,71.4,2,No
2025-08-27,TCK-8073,Feature Request,P2 High,1.0,4,No
2025-08-28,TCK-8138,Billing Bug,P1 Critical,1.9,4,No
2025-08-29,TCK-8473,Billing Bug,P3 Medium,48.1,4,No
2025-08-30,TCK-8350,Billing Bug,P3 Medium,65.9,5,Yes
2025-08-31,TCK-8019,Performance Lag,P4 Low,69.3,4,No
2025-09-01,TCK-8417,Performance Lag,P1 Critical,38.1,4,No
2025-09-01,TCK-8310,Account Lock,P3 Medium,72.0,5,No
2025-09-03,TCK-8049,Feature Request,P3 Medium,55.5,5,Yes
2025-09-04,TCK-8277,Billing Bug,P1 Critical,41.8,2,No
2025-09-04,TCK-8089,Account Lock,P3 Medium,61.1,4,No
2025-09-05,TCK-8483,Integration Error,P3 Medium,49.0,5,No
2025-09-05,TCK-8252,Integration Error,P2 High,16.9,4,No
2025-09-05,TCK-8283,Performance Lag,P2 High,1.5,5,Yes
2025-09-05,TCK-8128,Performance Lag,P3 Medium,21.9,5,No
2025-09-06,TCK-8190,Integration Error,P3 Medium,9.9,4,No
2025-09-10,TCK-8445,Billing Bug,P3 Medium,43.9,4,No
2025-09-10,TCK-8273,Performance Lag,P4 Low,66.7,2,No
2025-09-10,TCK-8002,Billing Bug,P4 Low,26.9,3,No
2025-09-11,TCK-8245,Feature Request,P2 High,5.2,5,No
2025-09-12,TCK-8223,Billing Bug,P4 Low,20.5,5,No
2025-09-12,TCK-8180,Feature Request,P3 Medium,15.1,2,Yes
2025-09-13,TCK-8158,Performance Lag,P3 Medium,40.5,4,No
2025-09-14,TCK-8072,Account Lock,P4 Low,49.8,4,No
2025-09-15,TCK-8198,Account Lock,P3 Medium,51.6,5,No
2025-09-15,TCK-8351,Integration Error,P3 Medium,49.7,4,Yes
2025-09-16,TCK-8331,Performance Lag,P3 Medium,26.5,4,No
2025-09-17,TCK-8250,Account Lock,P2 High,28.4,3,No
2025-09-17,TCK-8302,Account Lock,P3 Medium,65.6,2,No
2025-09-18,TCK-8385,Performance Lag,P2 High,53.7,5,No
2025-09-19,TCK-8039,Billing Bug,P2 High,35.4,3,No
2025-09-19,TCK-8146,Performance Lag,P2 High,34.4,3,Yes
2025-09-19,TCK-8332,Feature Request,P1 Critical,57.1,5,No
2025-09-19,TCK-8446,Integration Error,P2 High,53.5,3,No
2025-09-20,TCK-8271,Feature Request,P3 Medium,31.2,1,No
2025-09-20,TCK-8098,Integration Error,P2 High,41.7,4,Yes
2025-09-21,TCK-8293,Billing Bug,P3 Medium,12.5,5,No
2025-09-21,TCK-8152,Account Lock,P3 Medium,30.1,5,No
2025-09-21,TCK-8007,Integration Error,P3 Medium,27.6,5,No
2025-09-23,TCK-8061,Account Lock,P2 High,60.2,5,No
2025-09-25,TCK-8255,Integration Error,P3 Medium,29.8,4,No
2025-09-25,TCK-8197,Performance Lag,P2 High,52.1,4,No
2025-09-27,TCK-8400,Billing Bug,P3 Medium,42.8,2,No
2025-09-27,TCK-8219,Account Lock,P3 Medium,12.9,5,No
2025-09-28,TCK-8165,Integration Error,P3 Medium,44.1,1,Yes
2025-09-28,TCK-8053,Integration Error,P3 Medium,13.5,4,No
2025-09-28,TCK-8099,Feature Request,P3 Medium,70.4,5,No
2025-09-29,TCK-8121,Feature Request,P3 Medium,12.5,3,Yes
2025-09-29,TCK-8434,Performance Lag,P4 Low,53.6,1,No
2025-09-29,TCK-8276,Performance Lag,P4 Low,51.0,5,No
2025-09-30,TCK-8172,Feature Request,P2 High,66.2,4,No
2025-10-03,TCK-8296,Account Lock,P3 Medium,19.9,5,No
2025-10-04,TCK-8183,Feature Request,P4 Low,12.0,5,No
2025-10-04,TCK-8450,Feature Request,P3 Medium,35.7,5,No
2025-10-08,TCK-8126,Feature Request,P2 High,46.5,4,Yes
2025-10-10,TCK-8491,Feature Request,P3 Medium,23.7,4,No
2025-10-10,TCK-8457,Feature Request,P4 Low,15.0,5,No
2025-10-11,TCK-8378,Integration Error,P3 Medium,5.5,1,No
2025-10-12,TCK-8027,Performance Lag,P2 High,3.3,5,No
2025-10-13,TCK-8282,Feature Request,P4 Low,59.0,1,No
2025-10-14,TCK-8069,Integration Error,P2 High,2.8,4,No
2025-10-16,TCK-8401,Account Lock,P3 Medium,26.0,5,No
2025-10-16,TCK-8347,Account Lock,P4 Low,28.5,4,No
2025-10-16,TCK-8353,Performance Lag,P1 Critical,23.8,5,No
2025-10-19,TCK-8139,Billing Bug,P4 Low,30.8,5,No
2025-10-19,TCK-8355,Integration Error,P3 Medium,46.7,4,No
2025-10-20,TCK-8083,Integration Error,P3 Medium,20.5,3,No
2025-10-20,TCK-8236,Account Lock,P3 Medium,24.0,4,No
2025-10-21,TCK-8494,Integration Error,P2 High,14.9,5,No
2025-10-21,TCK-8481,Account Lock,P4 Low,41.5,3,No
2025-10-22,TCK-8021,Account Lock,P4 Low,55.2,1,No
