Trade Date,Asset Class,Ticker,Sector,Investment Amount,Return Percentage,Current Portfolio Value
2025-02-04,Commodities,MSFT,Technology,63215,30.7,57155.5
2025-02-06,Venture,BND,Technology,163422,18.11,229452.53
2025-02-07,Fixed Income,NVDA,Energy,30968,34.52,283065.73
2025-02-08,Equities,GOOGL,Healthcare,59261,-15.16,269139.54
2025-02-08,Venture,MSFT,Technology,67188,-1.93,194037.41
2025-02-09,Commodities,MSFT,Technology,108569,30.25,133851.22
2025-02-10,Crypto,BTC,Healthcare,163074,19.19,99017.75
2025-02-11,Real Estate,BTC,Energy,163502,9.56,188628.75
2025-02-12,Commodities,AAPL,Consumer,132874,-0.12,137591.77
2025-02-12,Equities,AMZN,Consumer,150734,9.08,193644.39
2025-02-12,Fixed Income,BTC,Technology,163795,13.78,231214.54
2025-02-13,Equities,AAPL,Consumer,210576,34.26,174252.14
2025-02-13,Fixed Income,GLD,Healthcare,127189,-14.21,302631.84
2025-02-13,Crypto,BTC,Technology,18515,0.03,262967.66
2025-02-13,Commodities,NVDA,Consumer,186644,8.2,87789.37
2025-02-14,Crypto,BND,Financials,207615,-15.49,125053.37
2025-02-14,Venture,NVDA,Technology,209874,31.52,271045.8
2025-02-15,Commodities,GOOGL,Energy,37813,34.51,200914.57
2025-02-16,Commodities,GLD,Financials,65155,-4.39,264767.92
2025-02-17,Real Estate,AMZN,Consumer,25605,9.07,255443.31
2025-02-17,Commodities,MSFT,Energy,217519,11.14,296661.07
2025-02-18,Commodities,GOOGL,Financials,100424,22.01,237360.94
2025-02-18,Venture,GOOGL,Energy,147290,30.64,6538.07
2025-02-20,Real Estate,AMZN,Technology,14745,18.87,233473.55
2025-02-21,Commodities,BTC,Financials,70516,31.64,128947.98
2025-02-21,Real Estate,NVDA,Healthcare,67508,24.99,186345.23
2025-02-21,Crypto,GOOGL,Financials,40421,22.59,64925.68
2025-02-22,Equities,BND,Healthcare,213870,13.52,188857.39
2025-02-24,Equities,AAPL,Healthcare,111683,22.65,144770.95
2025-02-24,Fixed Income,AAPL,Energy,204304,-14.43,240285.96
2025-02-25,Crypto,BTC,Consumer,28940,8.58,149939.68
2025-02-26,Venture,GLD,Financials,43575,-2.17,138965.67
2025-02-26,Commodities,GOOGL,Energy,59380,21.66,254590.58
2025-03-01,Equities,AMZN,Consumer,48262,6.73,129816.96
2025-03-01,Equities,GLD,Consumer,220280,34.66,298214.65
2025-03-01,Fixed Income,GLD,Healthcare,169434,0.51,262423.44
2025-03-01,Crypto,BND,Consumer,198320,34.82,119326.47
2025-03-01,Fixed Income,MSFT,Technology,33715,19.19,94627.45
2025-03-02,Crypto,GOOGL,Energy,191113,17.26,96138.56
2025-03-03,Real Estate,GOOGL,Consumer,165613,3.01,100141.83
2025-03-04,Crypto,AAPL,Consumer,55969,30.47,18707.12
2025-03-04,Venture,BTC,Healthcare,76591,8.25,159497.82
2025-03-06,Crypto,NVDA,Healthcare,152364,13.18,310709.62
2025-03-08,Equities,GLD,Financials,55151,12.58,259306.46
2025-03-08,Commodities,NVDA,Technology,231833,-2.41,306906.65
2025-03-09,Crypto,AMZN,Financials,84509,29.05,153461.99
2025-03-10,Venture,BTC,Consumer,138909,-13.31,298329.41
2025-03-13,Equities,AAPL,Consumer,36976,9.0,152689.99
2025-03-15,Crypto,MSFT,Energy,230657,18.6,206101.62
2025-03-15,Crypto,MSFT,Financials,21101,20.81,135044.61
2025-03-17,Commodities,NVDA,Financials,49420,33.2,240629.48
2025-03-17,Equities,GOOGL,Technology,145160,9.84,56554.5
2025-03-18,Equities,NVDA,Technology,22131,-2.55,207681.96
2025-03-19,Venture,AAPL,Technology,114268,16.96,19253.92
2025-03-21,Real Estate,AAPL,Financials,14695,-15.4,260108.4
2025-03-23,Fixed Income,AAPL,Financials,53582,21.15,265666.82
2025-03-23,Venture,AAPL,Energy,18890,-11.47,310050.28
2025-03-24,Equities,MSFT,Consumer,126284,26.77,147928.89
2025-03-25,Equities,GOOGL,Consumer,57284,26.02,319058.89
2025-03-27,Real Estate,AAPL,Healthcare,162970,26.79,144764.95
2025-03-27,Real Estate,BND,Energy,145362,32.89,74754.36
2025-03-28,Equities,GLD,Technology,50924,-10.05,172619.21
2025-03-28,Commodities,AMZN,Consumer,162990,8.7,49100.11
2025-03-28,Crypto,GOOGL,Consumer,115733,22.02,36629.78
2025-03-29,Venture,MSFT,Financials,152049,18.91,138109.23
2025-03-29,Crypto,AAPL,Financials,176570,-1.41,55833.71
2025-03-30,Venture,AAPL,Healthcare,225629,-12.77,59855.17
2025-03-31,Crypto,GOOGL,Financials,55061,-1.41,239965.55
2025-03-31,Equities,AAPL,Technology,211423,7.86,83996.07
2025-04-01,Commodities,AAPL,Healthcare,160581,-14.73,43993.64
2025-04-02,Venture,BTC,Financials,168607,5.63,19347.06
2025-04-03,Equities,BND,Financials,122286,3.19,135894.33
2025-04-03,Venture,GOOGL,Consumer,122744,-3.54,230430.95
2025-04-05,Fixed Income,BND,Energy,138858,14.98,208663.52
2025-04-06,Real Estate,AAPL,Energy,9889,3.11,17262.68
2025-04-07,Venture,AAPL,Financials,180911,11.44,275876.96
2025-04-08,Venture,GOOGL,Energy,53351,32.95,212549.34
2025-04-09,Fixed Income,BTC,Energy,185903,28.4,78463.52
2025-04-10,Fixed Income,BND,Healthcare,137812,6.08,280017.52
2025-04-11,Crypto,AMZN,Financials,221746,6.46,17628.38
2025-04-11,Crypto,GOOGL,Consumer,95073,33.77,319799.32
2025-04-11,Equities,AMZN,Energy,41365,-0.22,150170.01
2025-04-12,Equities,BTC,Financials,236426,-14.97,301437.59
2025-04-12,Real Estate,BTC,Energy,197261,33.87,238319.45
2025-04-15,Fixed Income,BND,Consumer,160927,13.76,274208.02
2025-04-15,Equities,BTC,Consumer,180483,-14.57,98024.78
2025-04-15,Commodities,GOOGL,Energy,212791,26.99,155760.26
2025-04-15,Equities,BTC,Financials,102204,15.21,10082.67
2025-04-15,Real Estate,GLD,Energy,54431,11.28,93957.11
2025-04-15,Venture,MSFT,Consumer,187615,2.36,245788.4
2025-04-17,Venture,GOOGL,Energy,106982,22.34,90816.66
2025-04-17,Crypto,GOOGL,Healthcare,249826,22.0,310282.73
2025-04-18,Fixed Income,NVDA,Healthcare,218739,18.99,317511.96
2025-04-18,Venture,NVDA,Healthcare,60114,-11.32,250644.5
2025-04-18,Commodities,GOOGL,Consumer,237753,3.07,197874.81
2025-04-19,Commodities,NVDA,Energy,30322,-6.02,49773.49
2025-04-21,Equities,MSFT,Technology,164224,19.97,113371.07
2025-04-21,Venture,BND,Consumer,242230,-13.88,97302.36
2025-04-25,Venture,MSFT,Consumer,239589,23.03,10840.74
2025-04-27,Crypto,AAPL,Consumer,83590,16.07,110108.56
2025-04-29,Commodities,BTC,Consumer,201844,12.76,166575.57
2025-04-30,Crypto,GOOGL,Healthcare,8192,32.37,179283.2
2025-04-30,Real Estate,NVDA,Consumer,38741,-4.99,235773.45
2025-05-03,Commodities,BTC,Consumer,137692,-7.66,30495.25
2025-05-05,Real Estate,GOOGL,Energy,185394,24.26,90492.33
2025-05-08,Venture,AMZN,Healthcare,42958,6.18,53698.44
2025-05-08,Equities,GLD,Healthcare,51870,31.79,155607.75
2025-05-09,Fixed Income,GOOGL,Healthcare,116688,0.84,183837.81
2025-05-10,Venture,NVDA,Consumer,137717,1.73,231270.82
2025-05-11,Venture,BTC,Consumer,57482,-11.52,266129.08
2025-05-12,Crypto,AMZN,Healthcare,143691,10.36,107411.1
2025-05-12,Equities,NVDA,Healthcare,66401,15.62,215831.75
2025-05-13,Fixed Income,AMZN,Financials,85781,16.67,252549.46
2025-05-14,Commodities,GLD,Consumer,49397,33.91,296681.78
2025-05-15,Fixed Income,NVDA,Technology,86311,11.93,256962.78
2025-05-15,Commodities,AMZN,Financials,36094,17.68,134054.15
2025-05-15,Fixed Income,GOOGL,Healthcare,43485,30.4,236167.73
2025-05-16,Commodities,BND,Technology,75210,-11.97,141202.96
2025-05-19,Real Estate,GOOGL,Energy,20861,25.67,45004.87
2025-05-20,Equities,GLD,Energy,148063,30.26,303876.84
2025-05-20,Commodities,AAPL,Consumer,248725,-0.37,112592.55
2025-05-21,Real Estate,BND,Financials,6214,-2.01,280080.58
2025-05-22,Crypto,BTC,Energy,118618,31.93,147895.07
2025-05-22,Fixed Income,GOOGL,Healthcare,150711,-11.48,119732.21
2025-05-23,Crypto,NVDA,Healthcare,148978,-5.13,197258.19
2025-05-23,Commodities,NVDA,Technology,72203,-13.77,96558.22
2025-05-23,Equities,BTC,Financials,90366,13.45,175961.56
2025-05-23,Crypto,MSFT,Financials,240863,22.29,115870.21
2025-05-24,Equities,AAPL,Healthcare,148011,-8.59,95557.08
2025-05-24,Fixed Income,AAPL,Financials,193946,10.48,175315.45
2025-05-26,Commodities,GOOGL,Energy,42317,22.43,207823.1
2025-05-27,Commodities,BND,Energy,137994,32.37,259752.33
2025-05-27,Real Estate,AMZN,Financials,224313,-12.31,261399.0
2025-05-28,Commodities,MSFT,Financials,9841,32.63,113472.78
2025-05-29,Crypto,BND,Consumer,152519,29.86,109422.31
2025-05-29,Venture,GLD,Energy,198417,-0.95,117861.48
2025-05-29,Real Estate,NVDA,Financials,137290,15.97,52669.16
2025-06-04,Fixed Income,GOOGL,Financials,68328,-13.83,8241.64
2025-06-04,Venture,BND,Financials,21350,28.07,79298.94
2025-06-05,Fixed Income,AAPL,Healthcare,220655,5.51,195662.17
2025-06-05,Real Estate,AMZN,Financials,211422,18.69,131172.66
2025-06-05,Venture,BTC,Technology,64076,11.85,282621.2
2025-06-05,Commodities,NVDA,Energy,10004,15.71,268147.43
2025-06-08,Fixed Income,AAPL,Financials,128254,27.8,249672.82
2025-06-10,Equities,BTC,Healthcare,218934,2.9,135372.02
2025-06-11,Fixed Income,AMZN,Financials,74634,29.19,193657.49
2025-06-11,Venture,NVDA,Financials,86397,33.99,203386.66
2025-06-13,Venture,GOOGL,Consumer,22881,17.9,272981.53
2025-06-13,Equities,NVDA,Consumer,170386,-1.63,226900.26
2025-06-14,Real Estate,NVDA,Energy,166215,17.0,32317.94
2025-06-14,Crypto,AMZN,Technology,92211,-0.96,264795.29
2025-06-14,Real Estate,AMZN,Consumer,226958,-6.53,110898.25
2025-06-15,Fixed Income,BND,Consumer,94882,12.79,124962.53
2025-06-15,Real Estate,AAPL,Technology,78079,7.36,223946.98
2025-06-19,Crypto,BTC,Consumer,227807,15.96,35356.33
2025-06-19,Commodities,MSFT,Energy,68471,5.1,172056.23
2025-06-21,Crypto,MSFT,Healthcare,110664,-0.68,285501.25
2025-06-22,Commodities,MSFT,Consumer,161610,5.22,142931.21
2025-06-23,Commodities,BND,Consumer,7473,6.49,137771.25
2025-06-24,Commodities,GLD,Financials,35921,0.58,200749.82
2025-06-24,Commodities,MSFT,Healthcare,208177,-15.44,137622.52
2025-06-24,Fixed Income,BTC,Financials,72593,-8.99,149919.44
2025-06-25,Real Estate,AAPL,Technology,74852,16.82,45434.3
2025-06-26,Commodities,NVDA,Energy,123013,25.94,217120.69
2025-06-27,Crypto,AMZN,Consumer,238273,24.39,165138.67
2025-06-28,Crypto,AAPL,Energy,249497,-7.7,71327.13
2025-06-30,Commodities,AAPL,Technology,153594,-7.93,301138.53
2025-06-30,Equities,GLD,Energy,33000,31.59,61803.98
2025-07-01,Commodities,BND,Technology,192313,-13.42,174192.35
2025-07-03,Venture,AMZN,Financials,29281,18.09,211979.34
2025-07-04,Commodities,AAPL,Energy,227293,-1.8,75887.12
2025-07-04,Crypto,AMZN,Consumer,175179,-2.29,17024.9
2025-07-05,Crypto,GOOGL,Energy,194870,-9.61,84709.69
2025-07-06,Fixed Income,AMZN,Technology,41303,24.36,113666.86
2025-07-06,Real Estate,GOOGL,Consumer,142632,21.25,149667.17
2025-07-06,Crypto,BND,Financials,211205,-12.86,285573.44
2025-07-08,Equities,AAPL,Financials,14982,13.55,158818.43
2025-07-11,Real Estate,MSFT,Energy,61531,1.04,214832.15
2025-07-11,Commodities,NVDA,Technology,92780,27.99,265218.81
2025-07-12,Real Estate,GLD,Financials,124004,-0.16,259352.54
2025-07-13,Commodities,AMZN,Consumer,122504,25.97,187763.63
2025-07-14,Equities,GOOGL,Healthcare,124783,13.17,197848.77
2025-07-14,Equities,GOOGL,Consumer,133396,14.38,239653.31
2025-07-15,Venture,NVDA,Energy,95744,16.34,5372.73
2025-07-16,Commodities,GLD,Financials,208569,20.56,317292.41
2025-07-16,Real Estate,NVDA,Energy,214682,10.85,137503.29
2025-07-17,Equities,GOOGL,Financials,184300,32.61,15988.51
2025-07-18,Venture,MSFT,Healthcare,6408,28.27,49546.87
2025-07-19,Venture,AMZN,Financials,248825,-14.38,162727.34
2025-07-19,Commodities,BND,Consumer,104865,-14.28,224719.83
2025-07-26,Equities,AAPL,Financials,196707,21.48,167943.43
2025-07-26,Crypto,NVDA,Technology,157755,17.8,26485.06
2025-07-29,Fixed Income,BND,Energy,84311,25.83,141789.14
2025-07-30,Crypto,BTC,Financials,93747,24.98,247129.07
2025-07-31,Crypto,AAPL,Financials,98740,26.11,94632.79
2025-08-02,Equities,MSFT,Consumer,195014,34.51,193321.5
2025-08-03,Real Estate,BND,Financials,106440,-13.74,152306.16
2025-08-05,Venture,BTC,Financials,45910,15.61,255365.97
2025-08-06,Equities,AMZN,Energy,121894,23.7,192945.7
2025-08-08,Venture,MSFT,Healthcare,57181,13.74,22841.67
2025-08-08,Venture,BTC,Energy,244419,-6.42,196344.21
2025-08-09,Commodities,GOOGL,Consumer,131525,-12.97,310106.5
2025-08-09,Crypto,BND,Financials,199292,24.6,263407.44
2025-08-10,Commodities,BTC,Energy,104919,-14.71,229646.49
2025-08-11,Equities,BND,Financials,240994,-10.12,145026.59
2025-08-12,Real Estate,GOOGL,Consumer,42890,9.98,285065.18
2025-08-13,Commodities,GLD,Energy,162670,-3.0,85419.62
2025-08-14,Equities,AMZN,Energy,199020,-5.36,185368.33
2025-08-14,Venture,GOOGL,Energy,35105,29.58,4323.05
2025-08-15,Commodities,BND,Consumer,33231,26.28,5003.08
2025-08-15,Venture,AAPL,Energy,77847,-2.75,108315.33
2025-08-19,Crypto,NVDA,Energy,36971,20.03,181876.35
2025-08-19,Real Estate,GLD,Consumer,32740,17.18,34509.95
2025-08-20,Venture,GOOGL,Healthcare,202241,12.4,215017.6
2025-08-20,Commodities,AAPL,Financials,31119,-8.64,81369.3
2025-08-21,Commodities,GOOGL,Technology,216811,22.22,180265.65
2025-08-22,Real Estate,NVDA,Financials,214485,23.87,160292.9
2025-08-22,Crypto,AAPL,Energy,130349,33.16,5130.5
2025-08-22,Fixed Income,AMZN,Financials,241139,16.04,65159.71
2025-08-23,Venture,GLD,Consumer,36283,-6.39,305943.6
2025-08-24,Fixed Income,GLD,Healthcare,79135,30.15,105892.71
2025-08-24,Commodities,AAPL,Energy,72384,-1.11,56813.84
2025-08-25,Venture,AAPL,Consumer,215323,33.29,207109.6
2025-08-27,Equities,BTC,Financials,16517,26.51,120966.74
2025-08-28,Venture,MSFT,Technology,118435,33.43,251273.79
2025-08-30,Venture,NVDA,Technology,166554,34.07,115801.69
2025-08-31,Venture,GLD,Healthcare,174350,-9.37,10475.49
2025-08-31,Fixed Income,GLD,Consumer,133721,-13.24,131855.46
2025-09-01,Commodities,BND,Technology,104599,34.72,278276.77
2025-09-02,Real Estate,BTC,Financials,109512,20.94,93411.43
2025-09-02,Equities,BTC,Consumer,19988,20.47,250193.69
2025-09-02,Real Estate,BND,Financials,65481,-10.68,109255.03
2025-09-02,Equities,BTC,Financials,192426,16.94,274099.78
2025-09-02,Commodities,BTC,Healthcare,55126,24.24,293796.71
2025-09-03,Venture,GOOGL,Technology,236609,30.78,146750.39
2025-09-03,Equities,GLD,Energy,139273,9.24,26885.45
2025-09-07,Crypto,GOOGL,Energy,141578,-9.27,99553.22
2025-09-07,Venture,BND,Technology,112042,-14.92,201006.45
2025-09-08,Fixed Income,AAPL,Technology,219384,21.75,145591.75
2025-09-08,Real Estate,BTC,Technology,193691,13.76,271627.54
2025-09-10,Commodities,GOOGL,Technology,201135,8.02,282253.28
2025-09-10,Equities,NVDA,Technology,144180,-2.86,201872.71
2025-09-12,Fixed Income,BTC,Consumer,86219,23.71,178034.88
2025-09-12,Fixed Income,BTC,Financials,41527,-3.67,311745.37
2025-09-13,Fixed Income,AMZN,Healthcare,166193,-8.69,75779.32
2025-09-14,Venture,AAPL,Healthcare,243251,8.51,280538.57
2025-09-15,Real Estate,NVDA,Technology,153515,-11.48,81733.66
2025-09-16,Real Estate,MSFT,Energy,168282,30.68,130210.92
2025-09-16,Fixed Income,GOOGL,Healthcare,166686,24.48,53520.14
2025-09-16,Crypto,BND,Financials,104265,21.02,210272.08
2025-09-16,Venture,BND,Healthcare,106584,-14.89,123963.35
2025-09-17,Crypto,BND,Technology,146474,-14.47,84200.06
2025-09-17,Crypto,AAPL,Consumer,22601,24.23,193419.37
2025-09-17,Equities,AAPL,Consumer,70930,5.52,164996.55
2025-09-19,Crypto,AAPL,Consumer,24589,2.6,136427.6
2025-09-21,Venture,NVDA,Consumer,172284,15.23,9311.1
2025-09-23,Fixed Income,AMZN,Healthcare,23226,1.72,89165.36
2025-09-23,Crypto,BND,Consumer,53365,1.52,69842.01
2025-09-23,Equities,AAPL,Financials,35383,4.18,20756.14
2025-09-23,Crypto,AAPL,Technology,55955,30.75,276166.48
2025-09-26,Fixed Income,NVDA,Energy,42170,0.28,12082.96
2025-09-27,Real Estate,AAPL,Healthcare,209573,6.3,83140.11
2025-09-28,Crypto,NVDA,Energy,167812,28.81,60601.69
2025-09-28,Venture,AMZN,Energy,83672,8.42,92247.83
2025-09-28,Crypto,AAPL,Technology,158805,20.26,130388.03
2025-09-29,Real Estate,AMZN,Energy,127196,20.46,149650.96
2025-09-30,Crypto,MSFT,Energy,7882,-9.52,9347.14
2025-10-02,Equities,NVDA,Consumer,152950,11.61,138183.45
2025-10-02,Commodities,AMZN,Technology,55551,14.69,304308.54
2025-10-04,Fixed Income,BND,Healthcare,91089,26.84,295489.65
2025-10-04,Crypto,AAPL,Energy,183321,4.6,195884.51
2025-10-04,Real Estate,BTC,Financials,209705,5.42,258721.96
2025-10-05,Fixed Income,GOOGL,Energy,113957,5.55,179013.53
2025-10-05,Venture,BTC,Healthcare,163987,33.56,70928.58
2025-10-06,Fixed Income,MSFT,Energy,244691,27.07,190917.01
2025-10-07,Commodities,AMZN,Energy,63235,-5.29,122938.76
2025-10-08,Venture,GOOGL,Technology,122426,19.83,93763.11
2025-10-08,Commodities,AMZN,Financials,120016,1.75,154886.22
2025-10-09,Crypto,GLD,Energy,135439,22.38,45464.09
2025-10-09,Venture,AMZN,Healthcare,167582,26.5,179358.4
2025-10-10,Commodities,GOOGL,Consumer,108068,18.35,284668.03
2025-10-13,Real Estate,MSFT,Energy,97035,3.18,229377.21
2025-10-17,Venture,NVDA,Healthcare,212132,11.38,253554.13
2025-10-17,Venture,AMZN,Healthcare,39722,31.37,67595.12
2025-10-18,Fixed Income,MSFT,Healthcare,10681,15.01,173470.28
2025-10-19,Equities,AMZN,Healthcare,21600,28.32,57991.82
2025-10-19,Venture,MSFT,Healthcare,198529,-5.38,211791.58
2025-10-20,Commodities,GLD,Financials,38800,-6.82,160979.36
2025-10-20,Equities,BTC,Technology,156726,0.22,126815.3
2025-10-23,Crypto,BTC,Financials,153228,-4.83,23631.74
2025-10-25,Fixed Income,GLD,Energy,144325,31.46,28531.68
2025-10-26,Equities,BTC,Consumer,88265,4.0,50439.49
2025-10-27,Venture,GLD,Consumer,41996,-13.58,218873.22
2025-10-27,Equities,GLD,Energy,162745,9.18,24833.53
2025-10-28,Real Estate,NVDA,Technology,156586,2.8,108400.38
2025-10-28,Commodities,BTC,Energy,27106,-0.11,232436.72
2025-10-28,Fixed Income,GOOGL,Healthcare,71126,31.67,315514.96
2025-10-30,Crypto,BND,Energy,174821,-0.08,139059.8
2025-10-31,Fixed Income,BND,Healthcare,197386,23.38,140817.74
2025-11-02,Equities,BND,Energy,123115,33.92,228653.77
2025-11-03,Venture,BTC,Healthcare,51365,-2.92,124963.0
2025-11-04,Equities,NVDA,Financials,116116,3.04,29386.45
2025-11-05,Equities,MSFT,Consumer,243084,17.77,50617.53
2025-11-05,Commodities,NVDA,Energy,80028,-9.06,292413.52
2025-11-05,Venture,GLD,Technology,61313,18.61,101815.27
2025-11-07,Equities,AMZN,Financials,16881,14.02,168326.18
2025-11-07,Commodities,BND,Consumer,93241,13.24,171910.02
2025-11-07,Crypto,AMZN,Financials,173508,16.47,107250.18
2025-11-10,Real Estate,AAPL,Consumer,179553,-6.15,154296.11
2025-11-10,Commodities,BND,Technology,168322,13.96,161096.39
2025-11-12,Venture,AMZN,Technology,78748,23.03,277338.1
2025-11-13,Venture,BTC,Technology,204548,23.82,194777.64
2025-11-14,Fixed Income,AMZN,Healthcare,152948,2.13,286537.91
2025-11-15,Fixed Income,MSFT,Technology,137526,8.31,127040.29
2025-11-16,Commodities,BTC,Technology,175100,-9.23,19681.38
2025-11-18,Crypto,MSFT,Technology,154485,13.7,161598.8
2025-11-20,Commodities,GLD,Technology,92329,21.59,256929.83
2025-11-21,Fixed Income,GLD,Energy,174327,1.47,62227.76
2025-11-21,Crypto,GLD,Healthcare,47000,24.76,152629.73
2025-11-23,Crypto,NVDA,Financials,155798,23.13,225267.83
2025-11-23,Fixed Income,GOOGL,Consumer,96707,-11.22,241019.38
2025-11-24,Equities,MSFT,Technology,147857,4.33,80788.6
2025-11-25,Real Estate,GLD,Financials,199469,-10.89,312121.78
2025-11-26,Venture,MSFT,Healthcare,118838,6.66,141277.75
2025-11-27,Real Estate,NVDA,Healthcare,203684,14.79,113391.32
2025-11-28,Crypto,NVDA,Financials,165592,4.72,89655.9
2025-11-28,Commodities,GOOGL,Financials,38541,16.06,250561.95
2025-11-29,Crypto,BTC,Consumer,48555,2.08,255759.94
2025-11-29,Equities,GOOGL,Energy,209812,-1.85,97732.19
2025-12-01,Venture,AAPL,Consumer,172813,-8.15,277262.86
2025-12-01,Commodities,NVDA,Energy,55185,20.8,190166.16
2025-12-02,Crypto,MSFT,Financials,186715,-11.52,63285.07
2025-12-02,Equities,NVDA,Technology,96472,17.18,260736.15
2025-12-03,Crypto,NVDA,Technology,134236,5.14,163907.46
2025-12-03,Venture,NVDA,Technology,56897,-14.65,36778.73
2025-12-04,Commodities,BND,Technology,110025,32.45,214541.36
2025-12-04,Venture,GLD,Technology,25545,15.8,319455.67
2025-12-05,Crypto,BTC,Financials,218328,-14.89,68865.85
2025-12-07,Fixed Income,BND,Healthcare,160596,26.08,110305.73
2025-12-08,Commodities,AAPL,Healthcare,121475,16.48,25234.43
2025-12-10,Fixed Income,GOOGL,Energy,22769,13.53,216388.17
2025-12-10,Commodities,NVDA,Technology,98332,23.38,22192.71
2025-12-10,Venture,MSFT,Financials,27187,2.45,14633.5
2025-12-11,Crypto,BND,Healthcare,174694,30.71,24985.69
2025-12-13,Equities,BND,Financials,95791,-11.3,287528.89
2025-12-14,Crypto,BTC,Healthcare,223171,18.28,105846.0
2025-12-14,Commodities,GLD,Healthcare,222674,17.2,60068.4
2025-12-15,Crypto,BTC,Healthcare,10738,-4.38,52778.32
2025-12-19,Equities,BTC,Healthcare,62287,8.87,246232.11
2025-12-19,Real Estate,GOOGL,Financials,103633,15.15,72009.72
2025-12-19,Venture,BND,Consumer,138780,8.05,272951.02
2025-12-19,Crypto,AMZN,Technology,42710,-4.53,214839.4
2025-12-23,Crypto,AAPL,Consumer,74306,28.83,312570.85
2025-12-28,Commodities,BND,Healthcare,84397,18.77,307224.94
2025-12-29,Fixed Income,GLD,Consumer,117854,17.12,278148.1
2025-12-29,Real Estate,GLD,Technology,8098,28.04,83311.73
2025-12-29,Fixed Income,NVDA,Financials,191340,30.34,253692.58
2025-12-30,Real Estate,GLD,Healthcare,66768,-10.07,273699.89
