Campaign Date,Platform,Campaign Name,Ad Spend,Impressions,Clicks,Conversions,ROI Ratio
2025-03-02,Meta Ads,Q1 Product Launch,1570.19,181100,9930,83,3.67
2025-03-04,LinkedIn Ads,Retargeting Fall,2531.75,162272,15596,164,7.54
2025-03-04,Meta Ads,Retargeting Fall,5424.97,218051,2774,598,3.97
2025-03-04,YouTube Ads,Q1 Product Launch,2035.57,154121,2030,228,1.15
2025-03-05,LinkedIn Ads,Enterprise Webinar,6421.18,151985,17582,96,7.91
2025-03-05,Google Ads,Black Friday Promo,8017.28,11085,7791,486,4.0
2025-03-07,Meta Ads,Q1 Product Launch,1975.03,68951,14787,367,2.81
2025-03-11,Google Ads,Black Friday Promo,4150.03,94946,1767,184,8.04
2025-03-12,LinkedIn Ads,Brand Awareness,10571.92,221929,957,363,1.8
2025-03-13,Google Ads,Retargeting Fall,9413.04,43329,10744,286,6.81
2025-03-14,Google Ads,Q1 Product Launch,8741.28,284357,17479,152,7.44
2025-03-14,YouTube Ads,Q1 Product Launch,5085.14,403126,13203,154,7.17
2025-03-16,TikTok Ads,Enterprise Webinar,10346.2,449015,9489,741,5.32
2025-03-16,Meta Ads,Brand Awareness,4073.94,16030,7969,712,5.07
2025-03-19,Google Ads,Enterprise Webinar,2581.85,353524,6138,684,3.12
2025-03-19,YouTube Ads,Brand Awareness,10254.13,154707,10600,596,2.37
2025-03-20,TikTok Ads,Retargeting Fall,6788.59,376727,4096,120,8.2
2025-03-21,Meta Ads,Brand Awareness,5715.12,202811,3902,404,7.42
2025-03-22,LinkedIn Ads,Brand Awareness,10005.42,419116,13722,664,2.89
2025-03-22,Google Ads,Brand Awareness,10069.85,360340,10192,85,6.24
2025-03-23,LinkedIn Ads,Q1 Product Launch,9731.51,152957,15812,153,4.38
2025-03-23,LinkedIn Ads,Q1 Product Launch,2083.16,196773,2614,605,5.69
2025-03-24,Google Ads,Black Friday Promo,10072.04,210288,17691,813,6.79
2025-03-27,LinkedIn Ads,Brand Awareness,4452.82,148426,13132,239,1.74
2025-03-28,YouTube Ads,Q1 Product Launch,5328.87,288900,17296,747,2.0
2025-03-29,Meta Ads,Enterprise Webinar,3479.34,285576,6346,76,6.61
2025-03-29,LinkedIn Ads,Brand Awareness,6132.98,413985,8702,559,7.7
2025-03-29,LinkedIn Ads,Retargeting Fall,5815.01,402278,17650,242,5.47
2025-03-30,YouTube Ads,Retargeting Fall,11247.17,246641,13246,525,3.85
2025-03-30,TikTok Ads,Brand Awareness,10677.11,306649,9050,268,5.1
2025-04-01,YouTube Ads,Q1 Product Launch,5641.19,353367,12998,207,5.01
2025-04-02,YouTube Ads,Enterprise Webinar,7468.22,186774,9881,234,7.73
2025-04-02,LinkedIn Ads,Q1 Product Launch,7157.61,409319,5310,586,8.09
2025-04-03,LinkedIn Ads,Enterprise Webinar,2068.59,25063,2630,166,4.81
2025-04-03,YouTube Ads,Black Friday Promo,11688.54,214670,7962,335,6.01
2025-04-06,YouTube Ads,Retargeting Fall,6133.26,435915,3510,240,6.33
2025-04-08,TikTok Ads,Enterprise Webinar,4147.35,259957,11065,466,6.34
2025-04-10,YouTube Ads,Brand Awareness,6566.89,299707,8300,793,6.73
2025-04-10,Meta Ads,Q1 Product Launch,8566.4,193260,15999,839,2.22
2025-04-10,LinkedIn Ads,Retargeting Fall,9158.85,116435,13445,490,8.42
2025-04-12,Google Ads,Enterprise Webinar,9304.32,389453,14053,195,6.94
2025-04-12,YouTube Ads,Retargeting Fall,5041.14,222338,12976,344,4.07
2025-04-14,TikTok Ads,Retargeting Fall,8481.14,206000,15150,195,2.42
2025-04-16,LinkedIn Ads,Q1 Product Launch,3248.57,74162,9623,375,1.93
2025-04-17,Google Ads,Black Friday Promo,10087.29,339711,2446,765,2.35
2025-04-19,LinkedIn Ads,Black Friday Promo,11314.51,436960,17132,679,5.33
2025-04-19,Meta Ads,Black Friday Promo,4210.88,208752,10551,744,5.41
2025-04-20,YouTube Ads,Black Friday Promo,4656.69,245189,4662,803,4.27
2025-04-20,LinkedIn Ads,Black Friday Promo,2439.79,181140,5351,284,5.89
2025-04-21,TikTok Ads,Brand Awareness,10279.21,68175,12105,342,1.72
2025-04-21,Meta Ads,Retargeting Fall,9829.74,334857,11341,813,4.02
2025-04-22,TikTok Ads,Retargeting Fall,9284.87,77058,5435,239,4.46
2025-04-23,YouTube Ads,Enterprise Webinar,10143.31,65812,373,260,1.86
2025-04-25,Google Ads,Brand Awareness,11938.62,444448,12211,816,8.39
2025-04-27,Google Ads,Brand Awareness,1463.7,223123,14353,634,1.66
2025-04-28,Google Ads,Retargeting Fall,2059.05,149334,13636,223,1.88
2025-04-28,YouTube Ads,Brand Awareness,10388.34,156477,1105,627,2.33
2025-04-29,YouTube Ads,Brand Awareness,769.63,114820,2896,813,3.91
2025-05-01,Meta Ads,Retargeting Fall,10053.21,375747,4117,632,4.58
2025-05-01,Google Ads,Enterprise Webinar,4865.29,26321,10239,387,6.2
2025-05-03,Google Ads,Retargeting Fall,4379.77,236941,13268,15,4.63
2025-05-03,YouTube Ads,Q1 Product Launch,7678.12,52262,4692,216,5.0
2025-05-06,Google Ads,Black Friday Promo,6770.54,61595,9126,638,4.79
2025-05-08,Meta Ads,Retargeting Fall,1847.72,399347,5574,403,2.53
2025-05-09,TikTok Ads,Brand Awareness,5119.21,365281,14297,83,5.84
2025-05-10,Google Ads,Brand Awareness,8420.03,148260,15804,169,6.25
2025-05-10,Google Ads,Enterprise Webinar,11491.03,12966,11434,482,8.48
2025-05-10,LinkedIn Ads,Black Friday Promo,6801.73,153622,9342,235,4.46
2025-05-12,LinkedIn Ads,Retargeting Fall,11003.35,433425,10662,361,2.33
2025-05-13,Google Ads,Brand Awareness,2124.34,302282,10112,825,7.73
2025-05-13,Google Ads,Q1 Product Launch,7454.92,145795,7427,574,6.26
2025-05-14,TikTok Ads,Q1 Product Launch,3773.17,319142,4557,583,6.66
2025-05-14,TikTok Ads,Retargeting Fall,1322.96,88488,9819,696,3.28
2025-05-15,Meta Ads,Black Friday Promo,4911.79,174998,17209,844,7.5
2025-05-16,YouTube Ads,Q1 Product Launch,10560.77,352898,4996,724,2.29
2025-05-16,LinkedIn Ads,Brand Awareness,6646.2,93086,12677,113,6.36
2025-05-17,Meta Ads,Brand Awareness,796.91,59738,14428,563,2.18
2025-05-19,LinkedIn Ads,Retargeting Fall,3101.74,14213,14788,817,1.64
2025-05-21,Google Ads,Black Friday Promo,8174.21,64895,1653,286,5.52
2025-05-23,YouTube Ads,Q1 Product Launch,6338.66,51713,8800,648,7.61
2025-05-23,YouTube Ads,Q1 Product Launch,4141.21,385831,11147,776,2.57
2025-05-24,LinkedIn Ads,Brand Awareness,5265.88,362195,3044,546,6.33
2025-05-24,LinkedIn Ads,Brand Awareness,4871.22,334437,7889,474,4.67
2025-05-25,YouTube Ads,Retargeting Fall,773.86,236086,16962,166,1.64
2025-05-26,LinkedIn Ads,Q1 Product Launch,8460.74,389673,1613,821,7.84
2025-05-27,Google Ads,Q1 Product Launch,11873.72,336880,5906,737,7.64
2025-05-28,LinkedIn Ads,Q1 Product Launch,10798.37,300367,7560,250,2.04
2025-05-30,LinkedIn Ads,Black Friday Promo,9658.0,173935,12609,839,1.84
2025-05-31,Meta Ads,Q1 Product Launch,10587.49,204262,3440,339,2.73
2025-06-03,Meta Ads,Retargeting Fall,7683.47,415544,14710,593,1.45
2025-06-03,Google Ads,Retargeting Fall,9883.92,130883,12852,637,5.94
2025-06-03,TikTok Ads,Brand Awareness,4752.74,50058,6671,45,1.19
2025-06-05,YouTube Ads,Retargeting Fall,1349.48,229831,2931,551,8.22
2025-06-05,LinkedIn Ads,Enterprise Webinar,2608.27,212476,12828,84,7.47
2025-06-05,LinkedIn Ads,Black Friday Promo,4872.75,60357,17020,153,3.67
2025-06-05,Meta Ads,Retargeting Fall,11640.13,63096,15854,343,5.79
2025-06-06,YouTube Ads,Black Friday Promo,10448.63,294941,12221,211,8.05
2025-06-06,Meta Ads,Brand Awareness,9983.75,209741,3487,687,5.35
2025-06-07,YouTube Ads,Black Friday Promo,9507.78,77703,8997,354,3.4
2025-06-07,LinkedIn Ads,Retargeting Fall,7773.06,418274,1225,783,6.28
2025-06-08,TikTok Ads,Brand Awareness,9398.42,163877,7289,183,6.52
2025-06-09,TikTok Ads,Black Friday Promo,5654.23,114139,4157,165,7.66
2025-06-09,Meta Ads,Retargeting Fall,7650.87,292469,6933,845,2.97
2025-06-12,LinkedIn Ads,Q1 Product Launch,2471.22,53835,15918,317,2.71
2025-06-14,TikTok Ads,Q1 Product Launch,6539.92,225691,16997,768,2.82
2025-06-14,YouTube Ads,Black Friday Promo,2006.9,273069,14638,701,7.48
2025-06-15,TikTok Ads,Brand Awareness,546.64,305719,15217,143,3.29
2025-06-18,LinkedIn Ads,Q1 Product Launch,1314.14,39400,16213,662,5.79
2025-06-18,Meta Ads,Q1 Product Launch,8673.38,372315,17665,791,3.77
2025-06-18,LinkedIn Ads,Enterprise Webinar,3147.22,187857,7524,112,3.59
2025-06-21,LinkedIn Ads,Black Friday Promo,9418.23,286674,10813,155,2.74
2025-06-21,Google Ads,Brand Awareness,3950.07,209268,8883,156,7.62
2025-06-25,Meta Ads,Enterprise Webinar,786.76,401988,13962,195,5.08
2025-06-25,TikTok Ads,Brand Awareness,11556.28,379258,6557,567,4.48
2025-06-26,Google Ads,Brand Awareness,10703.8,292287,3920,759,6.44
2025-06-26,Google Ads,Retargeting Fall,684.17,182296,13596,748,4.52
2025-06-26,TikTok Ads,Black Friday Promo,5106.87,323485,16942,568,6.32
2025-06-26,YouTube Ads,Enterprise Webinar,8309.17,124847,7884,153,5.91
2025-06-28,YouTube Ads,Q1 Product Launch,2297.83,86133,16988,235,6.67
2025-06-28,Google Ads,Enterprise Webinar,5472.61,240119,4071,690,1.93
2025-06-29,Meta Ads,Enterprise Webinar,909.01,386609,12776,413,7.97
2025-06-29,YouTube Ads,Q1 Product Launch,5836.62,13728,8668,192,4.47
2025-07-01,YouTube Ads,Brand Awareness,4978.35,264935,3291,390,6.9
2025-07-01,LinkedIn Ads,Black Friday Promo,2741.41,185040,13467,388,3.24
2025-07-01,YouTube Ads,Black Friday Promo,2451.0,198996,5715,600,5.54
2025-07-03,LinkedIn Ads,Retargeting Fall,11951.52,228898,12917,539,4.25
2025-07-03,LinkedIn Ads,Q1 Product Launch,9263.14,124124,5225,43,3.26
2025-07-03,Google Ads,Black Friday Promo,3888.02,422545,8680,802,4.25
2025-07-04,TikTok Ads,Enterprise Webinar,11142.54,245101,14046,226,3.36
2025-07-05,Google Ads,Retargeting Fall,7214.54,323858,13177,315,6.02
2025-07-06,Meta Ads,Brand Awareness,4759.43,316855,17361,317,5.75
2025-07-06,LinkedIn Ads,Enterprise Webinar,4222.87,391694,12902,348,3.68
2025-07-07,LinkedIn Ads,Retargeting Fall,10024.33,319887,10332,352,5.83
2025-07-09,YouTube Ads,Enterprise Webinar,729.48,44187,5279,828,1.6
2025-07-10,LinkedIn Ads,Brand Awareness,2753.95,302456,5457,834,7.29
2025-07-11,LinkedIn Ads,Black Friday Promo,1780.36,370742,14777,190,1.76
2025-07-11,Meta Ads,Retargeting Fall,2855.73,360600,11091,714,6.48
2025-07-12,LinkedIn Ads,Brand Awareness,11922.32,334379,9662,511,2.98
2025-07-13,Google Ads,Enterprise Webinar,4097.57,110290,526,487,3.8
2025-07-13,LinkedIn Ads,Brand Awareness,3113.99,430791,495,72,5.7
2025-07-14,Meta Ads,Enterprise Webinar,1635.14,43178,5733,345,3.35
2025-07-15,Meta Ads,Brand Awareness,5590.03,71321,821,185,3.25
2025-07-16,Meta Ads,Enterprise Webinar,3537.04,274349,1222,383,3.21
2025-07-17,Meta Ads,Brand Awareness,6065.16,368124,12326,471,4.01
2025-07-18,YouTube Ads,Q1 Product Launch,5938.75,232621,4283,386,5.63
2025-07-18,Meta Ads,Retargeting Fall,6695.15,117645,4559,232,1.13
2025-07-21,Google Ads,Retargeting Fall,1001.76,249583,15555,42,2.0
2025-07-21,YouTube Ads,Black Friday Promo,11427.76,154143,2501,802,8.38
2025-07-23,YouTube Ads,Black Friday Promo,4647.55,60374,5689,14,3.75
2025-07-25,LinkedIn Ads,Q1 Product Launch,10272.56,436102,6106,17,6.66
2025-07-27,Meta Ads,Enterprise Webinar,6197.68,275121,5254,674,7.01
2025-07-29,Google Ads,Retargeting Fall,2480.1,161857,6323,148,5.83
2025-07-31,TikTok Ads,Enterprise Webinar,4417.29,208729,5964,165,7.13
2025-07-31,TikTok Ads,Enterprise Webinar,5174.59,219062,11673,83,4.52
2025-07-31,TikTok Ads,Q1 Product Launch,6432.11,165194,14641,550,5.7
2025-07-31,LinkedIn Ads,Retargeting Fall,6427.22,21526,9046,494,5.44
2025-08-01,Meta Ads,Brand Awareness,1904.11,433904,6435,384,2.45
2025-08-02,Google Ads,Brand Awareness,1510.19,96314,9465,659,3.34
2025-08-02,LinkedIn Ads,Q1 Product Launch,3496.48,285995,5369,177,5.68
2025-08-02,Google Ads,Brand Awareness,4582.38,68639,16744,189,8.05
2025-08-05,Meta Ads,Black Friday Promo,10545.14,177820,3821,565,5.78
2025-08-05,YouTube Ads,Q1 Product Launch,5309.1,122781,9776,488,8.44
2025-08-06,Meta Ads,Enterprise Webinar,9356.52,117535,1486,705,1.19
2025-08-06,LinkedIn Ads,Brand Awareness,6090.47,129318,1615,596,2.59
2025-08-10,YouTube Ads,Q1 Product Launch,1403.46,13582,17033,59,3.25
2025-08-11,Google Ads,Enterprise Webinar,11804.11,433496,13832,237,7.14
2025-08-11,LinkedIn Ads,Enterprise Webinar,1185.04,370138,10058,436,8.38
2025-08-13,Meta Ads,Q1 Product Launch,5422.25,281940,13790,428,5.98
2025-08-13,LinkedIn Ads,Enterprise Webinar,7974.6,325410,610,358,8.02
2025-08-16,Google Ads,Retargeting Fall,716.87,429786,7841,447,6.03
2025-08-16,LinkedIn Ads,Q1 Product Launch,9197.87,298969,8977,457,5.15
2025-08-17,Meta Ads,Retargeting Fall,1234.02,353754,5527,363,2.51
2025-08-17,Meta Ads,Brand Awareness,639.75,156104,2152,217,6.53
2025-08-19,TikTok Ads,Black Friday Promo,3857.62,247895,16266,695,4.26
2025-08-21,Meta Ads,Enterprise Webinar,11209.67,383555,14344,126,5.92
2025-08-22,Meta Ads,Brand Awareness,4302.51,371990,12246,481,8.12
2025-08-23,YouTube Ads,Brand Awareness,3633.2,33655,4892,455,1.91
2025-08-24,LinkedIn Ads,Retargeting Fall,7953.77,133441,12268,192,5.51
2025-08-24,Google Ads,Black Friday Promo,11057.33,250776,7338,400,5.96
2025-08-25,YouTube Ads,Black Friday Promo,10479.56,424407,3042,263,2.59
2025-08-25,Google Ads,Brand Awareness,10536.12,342554,15182,650,2.64
2025-08-26,TikTok Ads,Black Friday Promo,6570.45,317678,4146,89,8.08
2025-08-26,LinkedIn Ads,Q1 Product Launch,9167.87,46681,2563,466,8.21
2025-08-28,Google Ads,Q1 Product Launch,9491.83,10068,3708,776,4.54
2025-08-28,Google Ads,Brand Awareness,769.36,309117,16009,720,5.72
2025-08-31,LinkedIn Ads,Enterprise Webinar,4348.23,439904,15785,335,6.41
2025-09-02,YouTube Ads,Brand Awareness,7651.54,176656,13395,324,3.55
2025-09-02,TikTok Ads,Q1 Product Launch,11815.72,22926,10532,704,2.08
2025-09-03,TikTok Ads,Enterprise Webinar,8715.44,67728,12848,614,4.72
2025-09-04,LinkedIn Ads,Black Friday Promo,11550.47,244162,8433,53,7.68
2025-09-06,LinkedIn Ads,Q1 Product Launch,1158.59,422546,4901,66,3.11
2025-09-08,YouTube Ads,Q1 Product Launch,3367.32,158496,16067,47,2.61
2025-09-08,TikTok Ads,Q1 Product Launch,10760.44,337759,15834,751,6.41
2025-09-08,LinkedIn Ads,Black Friday Promo,4642.01,177415,7733,256,3.93
2025-09-09,Meta Ads,Retargeting Fall,10674.7,401500,13457,225,8.36
2025-09-09,YouTube Ads,Black Friday Promo,7315.79,38071,12935,415,1.36
2025-09-10,YouTube Ads,Retargeting Fall,10855.98,250324,13928,700,4.93
2025-09-11,YouTube Ads,Brand Awareness,11357.43,359773,12751,435,5.23
2025-09-12,YouTube Ads,Brand Awareness,7350.81,398377,12370,705,2.91
2025-09-12,Google Ads,Brand Awareness,7949.34,132561,309,736,3.64
2025-09-14,TikTok Ads,Retargeting Fall,6462.27,387794,10213,409,2.6
2025-09-14,LinkedIn Ads,Black Friday Promo,8591.84,278821,6840,793,7.84
2025-09-16,TikTok Ads,Black Friday Promo,5711.65,198766,6796,59,7.29
2025-09-16,YouTube Ads,Retargeting Fall,4368.56,52129,9383,612,5.17
2025-09-17,Meta Ads,Q1 Product Launch,11846.77,24679,11981,291,7.9
2025-09-18,LinkedIn Ads,Enterprise Webinar,4352.87,118380,17775,687,3.5
2025-09-20,TikTok Ads,Enterprise Webinar,1332.85,185542,17082,732,5.65
2025-09-22,Meta Ads,Black Friday Promo,6103.55,363082,9317,826,5.65
2025-09-25,TikTok Ads,Retargeting Fall,9058.14,95802,2108,247,7.56
2025-09-26,LinkedIn Ads,Black Friday Promo,11893.73,145362,9685,507,6.27
2025-09-29,TikTok Ads,Brand Awareness,6527.15,24620,16515,432,1.3
2025-09-29,Google Ads,Brand Awareness,8718.17,308576,17698,661,7.05
2025-10-03,Meta Ads,Retargeting Fall,9309.36,103005,8693,499,7.33
2025-10-04,Google Ads,Black Friday Promo,2862.75,224529,3090,465,8.28
2025-10-04,TikTok Ads,Q1 Product Launch,7847.47,224241,15290,806,6.77
2025-10-06,Google Ads,Brand Awareness,11824.9,45191,16600,496,2.46
2025-10-07,Meta Ads,Enterprise Webinar,11488.23,397102,275,293,2.3
2025-10-10,Google Ads,Q1 Product Launch,11845.68,254924,4853,541,6.92
2025-10-10,LinkedIn Ads,Black Friday Promo,2929.69,173189,2770,141,1.47
2025-10-10,TikTok Ads,Q1 Product Launch,10704.64,257129,16191,656,3.76
2025-10-10,Google Ads,Black Friday Promo,7966.22,434363,1686,507,1.73
2025-10-13,TikTok Ads,Black Friday Promo,2813.99,147161,17536,307,2.54
2025-10-13,Meta Ads,Q1 Product Launch,669.9,326785,8454,818,4.76
2025-10-14,Meta Ads,Brand Awareness,4621.16,203545,10817,605,6.94
2025-10-14,TikTok Ads,Q1 Product Launch,9031.31,119602,670,394,1.41
2025-10-15,Google Ads,Brand Awareness,2840.72,115547,10864,739,7.48
2025-10-16,Meta Ads,Brand Awareness,882.28,364168,2315,625,2.17
2025-10-17,Google Ads,Black Friday Promo,11637.45,422655,15453,151,4.62
2025-10-17,YouTube Ads,Black Friday Promo,11250.9,332529,3409,437,3.68
2025-10-17,Google Ads,Enterprise Webinar,4437.56,153659,11649,105,8.04
2025-10-18,LinkedIn Ads,Brand Awareness,1141.22,308784,13687,268,7.07
2025-10-20,Meta Ads,Q1 Product Launch,10698.21,157089,15279,502,3.62
2025-10-21,TikTok Ads,Brand Awareness,4283.27,214390,15354,51,3.82
2025-10-21,LinkedIn Ads,Black Friday Promo,459.17,161628,4944,160,5.56
2025-10-22,Meta Ads,Retargeting Fall,4939.51,302412,1702,141,6.03
2025-10-22,YouTube Ads,Retargeting Fall,2044.88,394190,1852,584,6.68
2025-10-23,TikTok Ads,Q1 Product Launch,6110.5,57577,10100,146,5.97
2025-10-23,Google Ads,Q1 Product Launch,9416.68,91863,5198,203,5.65
2025-10-24,Meta Ads,Q1 Product Launch,10165.43,114004,6505,158,7.79
2025-10-24,YouTube Ads,Black Friday Promo,558.96,67193,14061,664,2.44
2025-10-24,YouTube Ads,Black Friday Promo,9348.99,363886,16619,769,6.42
2025-10-28,YouTube Ads,Enterprise Webinar,3478.83,55643,7563,794,3.24
2025-10-28,Meta Ads,Black Friday Promo,9531.36,361671,15662,202,7.11
2025-10-29,Google Ads,Q1 Product Launch,6600.17,175202,17673,686,2.35
2025-10-29,YouTube Ads,Retargeting Fall,9563.27,288295,14568,447,4.68
2025-10-29,Meta Ads,Enterprise Webinar,7890.05,140249,4268,275,2.92
2025-10-29,YouTube Ads,Black Friday Promo,9378.89,425651,1828,746,6.08
2025-10-30,TikTok Ads,Enterprise Webinar,7528.95,336653,17421,849,2.39
2025-10-31,LinkedIn Ads,Brand Awareness,2044.35,175529,9747,255,4.1
2025-10-31,LinkedIn Ads,Retargeting Fall,7298.87,98918,6137,253,1.89
2025-11-01,Meta Ads,Brand Awareness,5114.69,82264,9206,30,4.61
2025-11-02,YouTube Ads,Enterprise Webinar,7679.83,365049,7891,484,6.57
2025-11-02,Google Ads,Black Friday Promo,400.09,412204,6273,334,6.83
2025-11-04,LinkedIn Ads,Retargeting Fall,4193.34,84310,15588,690,5.16
2025-11-07,Google Ads,Retargeting Fall,7472.71,423969,8314,634,4.8
2025-11-10,LinkedIn Ads,Q1 Product Launch,5579.22,78947,12683,36,1.46
2025-11-10,TikTok Ads,Enterprise Webinar,4436.51,293805,13072,111,4.52
2025-11-11,YouTube Ads,Q1 Product Launch,9290.4,72995,4568,795,6.25
2025-11-11,TikTok Ads,Enterprise Webinar,5579.1,212301,5311,846,4.41
2025-11-12,Meta Ads,Enterprise Webinar,10657.81,409547,7023,753,4.0
2025-11-12,TikTok Ads,Black Friday Promo,8889.05,410237,17444,610,7.84
2025-11-14,Meta Ads,Enterprise Webinar,7145.67,246232,6751,202,4.7
2025-11-14,YouTube Ads,Q1 Product Launch,8223.12,51616,15876,805,2.82
2025-11-14,Google Ads,Retargeting Fall,2290.25,358431,16832,685,1.12
2025-11-14,Meta Ads,Enterprise Webinar,10173.45,286476,15687,266,6.26
2025-11-17,LinkedIn Ads,Brand Awareness,8961.57,31414,10864,461,4.73
2025-11-17,Google Ads,Q1 Product Launch,7494.45,314280,13384,525,3.65
2025-11-19,LinkedIn Ads,Brand Awareness,10899.68,255389,8442,75,1.93
2025-11-19,LinkedIn Ads,Enterprise Webinar,6667.77,382580,8705,844,5.32
2025-11-20,YouTube Ads,Q1 Product Launch,6528.51,219409,3194,103,1.39
2025-11-20,LinkedIn Ads,Retargeting Fall,10322.04,418816,3897,116,3.09
2025-11-20,Meta Ads,Q1 Product Launch,4657.86,228438,14151,692,5.46
2025-11-23,TikTok Ads,Q1 Product Launch,3004.47,200664,3454,412,3.15
2025-11-25,Meta Ads,Q1 Product Launch,871.45,273382,16297,183,3.97
2025-11-25,Google Ads,Q1 Product Launch,11830.82,94963,6327,268,2.43
2025-11-27,YouTube Ads,Enterprise Webinar,5971.47,267391,6632,68,7.67
2025-11-27,TikTok Ads,Retargeting Fall,8570.86,232574,12452,634,1.58
2025-11-27,Meta Ads,Q1 Product Launch,6431.65,62763,5529,673,7.76
2025-11-28,TikTok Ads,Brand Awareness,11320.35,341397,10809,18,5.52
2025-11-28,LinkedIn Ads,Black Friday Promo,4981.75,397900,17731,203,8.41
2025-11-28,Meta Ads,Black Friday Promo,9952.96,94269,9463,449,3.23
2025-11-30,LinkedIn Ads,Retargeting Fall,10657.18,220128,8316,66,4.89
2025-11-30,Google Ads,Retargeting Fall,5201.61,326921,8646,121,4.25
2025-12-01,Google Ads,Black Friday Promo,5733.13,51423,16043,569,3.0
2025-12-01,TikTok Ads,Retargeting Fall,4127.07,242842,10547,795,4.49
2025-12-02,Meta Ads,Q1 Product Launch,3900.67,369282,8000,332,4.9
2025-12-03,YouTube Ads,Enterprise Webinar,767.21,144308,11549,261,1.38
2025-12-04,LinkedIn Ads,Black Friday Promo,4647.41,142019,10364,47,5.03
